date,users, sessionLength,event_count
2019-01-02 00:00:00,45,282,52
2019-01-02 01:00:00,62,254,67
2019-01-02 02:00:00,97,213,109
2019-01-02 03:00:00,147,215,152
2019-01-02 04:00:00,172,232,185
2019-01-02 05:00:00,193,236,210
2019-01-02 06:00:00,201,226,221
2019-01-02 07:00:00,237,203,253
2019-01-02 08:00:00,257,216,274
2019-01-02 09:00:00,250,247,279
2019-01-02 10:00:00,270,237,290
2019-01-02 11:00:00,212,225,249
2019-01-02 12:00:00,239,211,260
2019-01-02 13:00:00,212,224,235
2019-01-02 14:00:00,193,251,205
2019-01-02 15:00:00,151,242,165
2019-01-02 16:00:00,132,247,138
2019-01-02 17:00:00,99,269,106
2019-01-02 18:00:00,60,341,64
2019-01-02 19:00:00,37,314,37
2019-01-02 20:00:00,46,250,47
2019-01-02 21:00:00,25,216,25
2019-01-02 22:00:00,21,417,22
2019-01-02 23:00:00,25,132,27
2019-01-03 00:00:00,40,148,43
2019-01-03 01:00:00,86,239,93
2019-01-03 02:00:00,124,195,132
2019-01-03 03:00:00,207,221,226
2019-01-03 04:00:00,197,203,217
2019-01-03 05:00:00,203,220,223
2019-01-03 06:00:00,306,215,350
2019-01-03 07:00:00,278,232,325
2019-01-03 08:00:00,277,237,316
2019-01-03 09:00:00,257,226,276
2019-01-03 10:00:00,200,270,220
2019-01-03 11:00:00,219,181,250
2019-01-03 12:00:00,208,275,233
2019-01-03 13:00:00,215,221,231
2019-01-03 14:00:00,197,216,207
2019-01-03 15:00:00,181,249,197
2019-01-03 16:00:00,146,271,163
2019-01-03 17:00:00,104,240,111
2019-01-03 18:00:00,65,188,69
2019-01-03 19:00:00,43,288,46
2019-01-03 20:00:00,26,208,28
2019-01-03 21:00:00,52,250,55
2019-01-03 22:00:00,30,205,33
2019-01-03 23:00:00,37,151,40
2019-01-04 00:00:00,48,195,50
2019-01-04 01:00:00,102,217,109
2019-01-04 02:00:00,123,259,135
2019-01-04 03:00:00,136,219,147
2019-01-04 04:00:00,160,209,181
2019-01-04 05:00:00,225,211,253
2019-01-04 06:00:00,249,313,291
2019-01-04 07:00:00,210,203,233
2019-01-04 08:00:00,203,270,228
2019-01-04 09:00:00,253,254,288
2019-01-04 10:00:00,240,261,260
2019-01-04 11:00:00,183,202,196
2019-01-04 12:00:00,171,251,190
2019-01-04 13:00:00,183,284,201
2019-01-04 14:00:00,135,223,147
2019-01-04 15:00:00,124,241,136
2019-01-04 16:00:00,121,329,130
2019-01-04 17:00:00,93,232,101
2019-01-04 18:00:00,58,361,59
2019-01-04 19:00:00,25,371,29
2019-01-04 20:00:00,23,210,26
2019-01-04 21:00:00,25,334,27
2019-01-04 22:00:00,27,217,33
2019-01-04 23:00:00,27,193,32
2019-01-05 00:00:00,56,251,64
2019-01-05 01:00:00,76,206,80
2019-01-05 02:00:00,84,417,100
2019-01-05 03:00:00,115,240,124
2019-01-05 04:00:00,116,245,123
2019-01-05 05:00:00,191,214,213
2019-01-05 06:00:00,179,348,191
2019-01-05 07:00:00,194,219,206
2019-01-05 08:00:00,172,258,179
2019-01-05 09:00:00,167,228,192
2019-01-05 10:00:00,207,232,222
2019-01-05 11:00:00,186,174,194
2019-01-05 12:00:00,178,233,192
2019-01-05 13:00:00,172,236,197
2019-01-05 14:00:00,149,301,164
2019-01-05 15:00:00,124,226,142
2019-01-05 16:00:00,130,315,146
2019-01-05 17:00:00,108,271,112
2019-01-05 18:00:00,58,273,69
2019-01-05 19:00:00,35,275,38
